No,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Zeta_in_Water (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Cell_Viability (%)
3444,MWCNT,C,Nanotube,None,Commercial,Neutral,17.6,171.4,0.9,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,16.0,NRU,NeutralRed,102.47
3445,MWCNT,C,Nanotube,None,Commercial,Neutral,17.6,171.4,0.9,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,32.0,NRU,NeutralRed,107.1
3446,MWCNT,C,Nanotube,None,Commercial,Negative,17.4,190.6,-18.9,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,2.0,NRU,NeutralRed,100.46
3447,MWCNT,C,Nanotube,None,Commercial,Negative,17.4,190.6,-18.9,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,4.0,NRU,NeutralRed,99.691
3448,MWCNT,C,Nanotube,None,Commercial,Negative,17.4,190.6,-18.9,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,8.0,NRU,NeutralRed,100.0
3449,MWCNT,C,Nanotube,None,Commercial,Negative,17.4,190.6,-18.9,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,16.0,NRU,NeutralRed,96.296
3450,MWCNT,C,Nanotube,None,Commercial,Negative,17.4,190.6,-18.9,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,32.0,NRU,NeutralRed,86.883
3529,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,25.0,AlamarBlue,AlamarBlue,100.34
3530,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,50.0,AlamarBlue,AlamarBlue,64.655
3531,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,100.0,AlamarBlue,AlamarBlue,33.966
3532,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,200.0,AlamarBlue,AlamarBlue,23.103
3533,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,400.0,AlamarBlue,AlamarBlue,9.1379
3534,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,600.0,AlamarBlue,AlamarBlue,5.1724
3535,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,800.0,AlamarBlue,AlamarBlue,6.7241
3536,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,1000.0,AlamarBlue,AlamarBlue,4.4828
3537,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,25.0,AlamarBlue,AlamarBlue,61.897
3538,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,50.0,AlamarBlue,AlamarBlue,38.103
3539,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,100.0,AlamarBlue,AlamarBlue,22.069
3540,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,200.0,AlamarBlue,AlamarBlue,14.31
3541,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,400.0,AlamarBlue,AlamarBlue,9.1379
3542,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,600.0,AlamarBlue,AlamarBlue,4.8276
3543,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,800.0,AlamarBlue,AlamarBlue,5.1724
3544,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,1000.0,AlamarBlue,AlamarBlue,3.7931
3545,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,25.0,AlamarBlue,AlamarBlue,54.828
3546,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,50.0,AlamarBlue,AlamarBlue,35.0
3547,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,100.0,AlamarBlue,AlamarBlue,16.724
3548,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,200.0,AlamarBlue,AlamarBlue,8.1034
3549,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,400.0,AlamarBlue,AlamarBlue,4.4828
3550,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,600.0,AlamarBlue,AlamarBlue,4.4828
3551,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,800.0,AlamarBlue,AlamarBlue,3.7931
3552,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,1000.0,AlamarBlue,AlamarBlue,2.7586
3553,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,20.0,AlamarBlue,AlamarBlue,92.346
3554,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,40.0,AlamarBlue,AlamarBlue,57.571
3555,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,60.0,AlamarBlue,AlamarBlue,50.749
3556,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,80.0,AlamarBlue,AlamarBlue,48.087
3557,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,100.0,AlamarBlue,AlamarBlue,40.1
3558,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,150.0,AlamarBlue,AlamarBlue,38.769
3559,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,200.0,AlamarBlue,AlamarBlue,36.439
3560,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,250.0,AlamarBlue,AlamarBlue,32.113
3561,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,20.0,AlamarBlue,AlamarBlue,31.448
3562,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,40.0,AlamarBlue,AlamarBlue,10.649
3563,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,60.0,AlamarBlue,AlamarBlue,1.9967
3564,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,80.0,AlamarBlue,AlamarBlue,1.6639
3565,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,100.0,AlamarBlue,AlamarBlue,0.99834
3566,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,150.0,AlamarBlue,AlamarBlue,0.66556
3567,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,200.0,AlamarBlue,AlamarBlue,0.0
3568,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,250.0,AlamarBlue,AlamarBlue,0.0
3569,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,20.0,AlamarBlue,AlamarBlue,15.308
3570,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,40.0,AlamarBlue,AlamarBlue,7.9867
3571,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,60.0,AlamarBlue,AlamarBlue,1.9967
3572,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,80.0,AlamarBlue,AlamarBlue,0.99834
3573,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,100.0,AlamarBlue,AlamarBlue,0.99834
3574,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,150.0,AlamarBlue,AlamarBlue,0.0
3575,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,200.0,AlamarBlue,AlamarBlue,0.0
3576,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,250.0,AlamarBlue,AlamarBlue,0.0
3577,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,25.0,NRU,NeutralRed,112.01
3578,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,50.0,NRU,NeutralRed,68.1
3579,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,100.0,NRU,NeutralRed,41.756
3580,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,200.0,NRU,NeutralRed,38.53
3581,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,400.0,NRU,NeutralRed,34.229
3582,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,600.0,NRU,NeutralRed,34.946
3583,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,800.0,NRU,NeutralRed,35.305
3584,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,1000.0,NRU,NeutralRed,34.946
3585,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,25.0,NRU,NeutralRed,104.48
3586,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,50.0,NRU,NeutralRed,65.412
3587,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,100.0,NRU,NeutralRed,39.247
3588,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,200.0,NRU,NeutralRed,28.315
3589,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,400.0,NRU,NeutralRed,24.014
3590,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,600.0,NRU,NeutralRed,24.014
3591,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,800.0,NRU,NeutralRed,21.505
3592,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,1000.0,NRU,NeutralRed,22.939
3593,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,25.0,NRU,NeutralRed,92.115
3594,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,50.0,NRU,NeutralRed,46.595
3595,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,100.0,NRU,NeutralRed,25.448
3596,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,200.0,NRU,NeutralRed,20.43
3597,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,400.0,NRU,NeutralRed,18.996
3598,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,600.0,NRU,NeutralRed,20.43
3599,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,800.0,NRU,NeutralRed,21.505
3600,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,1000.0,NRU,NeutralRed,22.939
3601,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,20.0,NRU,NeutralRed,86.111
3602,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,40.0,NRU,NeutralRed,71.759
3603,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,60.0,NRU,NeutralRed,67.284
3604,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,80.0,NRU,NeutralRed,66.358
3605,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,100.0,NRU,NeutralRed,61.265
3606,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,150.0,NRU,NeutralRed,53.395
3607,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,200.0,NRU,NeutralRed,49.846
3608,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,250.0,NRU,NeutralRed,43.519
3609,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,20.0,NRU,NeutralRed,48.92
3610,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,40.0,NRU,NeutralRed,45.833
3611,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,60.0,NRU,NeutralRed,33.642
3612,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,80.0,NRU,NeutralRed,30.864
3613,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,100.0,NRU,NeutralRed,29.167
3614,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,150.0,NRU,NeutralRed,26.389
3615,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,200.0,NRU,NeutralRed,27.623
3616,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,250.0,NRU,NeutralRed,22.222
3617,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,20.0,NRU,NeutralRed,45.062
3618,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,40.0,NRU,NeutralRed,40.741
3619,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,60.0,NRU,NeutralRed,30.864
3620,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,80.0,NRU,NeutralRed,27.932
3621,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,100.0,NRU,NeutralRed,27.623
3622,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,150.0,NRU,NeutralRed,25.463
3623,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,200.0,NRU,NeutralRed,25.463
3624,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,250.0,NRU,NeutralRed,20.37
3625,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,25.0,MTT,TetrazoliumSalt,70.14
3626,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,50.0,MTT,TetrazoliumSalt,60.342
3627,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,100.0,MTT,TetrazoliumSalt,18.663
3628,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,200.0,MTT,TetrazoliumSalt,11.975
3629,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,400.0,MTT,TetrazoliumSalt,6.5319
3630,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,600.0,MTT,TetrazoliumSalt,8.2426
3631,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,800.0,MTT,TetrazoliumSalt,11.042
3632,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,24,1000.0,MTT,TetrazoliumSalt,11.353
3633,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,25.0,MTT,TetrazoliumSalt,59.72
3634,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,50.0,MTT,TetrazoliumSalt,43.079
3635,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,100.0,MTT,TetrazoliumSalt,20.218
3636,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,200.0,MTT,TetrazoliumSalt,8.8647
3637,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,400.0,MTT,TetrazoliumSalt,4.3546
3638,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,600.0,MTT,TetrazoliumSalt,4.3546
3639,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,800.0,MTT,TetrazoliumSalt,5.9098
3640,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,1000.0,MTT,TetrazoliumSalt,7.3095
3641,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,25.0,MTT,TetrazoliumSalt,55.21
3642,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,50.0,MTT,TetrazoliumSalt,38.103
3643,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,100.0,MTT,TetrazoliumSalt,17.729
3644,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,200.0,MTT,TetrazoliumSalt,5.9098
3645,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,400.0,MTT,TetrazoliumSalt,4.9767
3646,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,600.0,MTT,TetrazoliumSalt,4.9767
3647,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,800.0,MTT,TetrazoliumSalt,6.5319
3648,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,1000.0,MTT,TetrazoliumSalt,9.4868
3649,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,20.0,MTT,TetrazoliumSalt,101.44
3650,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,40.0,MTT,TetrazoliumSalt,61.798
3651,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,60.0,MTT,TetrazoliumSalt,59.23
3652,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,80.0,MTT,TetrazoliumSalt,18.78
3653,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,100.0,MTT,TetrazoliumSalt,16.533
3654,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,150.0,MTT,TetrazoliumSalt,13.483
3655,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,12.841
3656,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,250.0,MTT,TetrazoliumSalt,11.236
3657,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,20.0,MTT,TetrazoliumSalt,9.6308
3658,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,40.0,MTT,TetrazoliumSalt,8.6677
3659,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,60.0,MTT,TetrazoliumSalt,7.3836
3660,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,80.0,MTT,TetrazoliumSalt,6.4205
3661,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,100.0,MTT,TetrazoliumSalt,4.8154
3662,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,150.0,MTT,TetrazoliumSalt,4.4944
3663,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,200.0,MTT,TetrazoliumSalt,4.4944
3664,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,250.0,MTT,TetrazoliumSalt,4.4944
3665,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,20.0,MTT,TetrazoliumSalt,7.3836
3666,Ag,I,Sphere,None,Commercial,Negative,29.57,28.41,-33.33,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,40.0,MTT,TetrazoliumSalt,7.7047
